Registrations State Wise
Data For,Empty,State 1,State 2,Bagmati,Gandaki,Lumbini,Karnali,Sudur Paschimanchal,Total
EMPLOYER_VERIFIED,0,2183,1041,11872,1127,1722,226,285,18456
EMPLOYER_SAVED,2016,482,308,1774,255,413,105,107,5460
EMPLOYER_SUBMITTED,0,0,0,0,0,0,0,0,0
EMPLOYER_TOTAL,2016,2665,1349,13646,1382,2135,331,392,23916
CONTRIBUTOR_VERIFIED,0,57491,22391,279884,19920,20370,2564,3205,405825
CONTRIBUTOR_SAVED,0,1105,1074,17239,0,0,0,0,19418
CONTRIBUTOR_SUBMITTED,0,0,0,0,0,0,0,0,0
CONTRIBUTOR_PENDING,0,21401,10583,223132,11056,8796,921,1518,277407
CONTRIBUTOR_Migrant W. Dofe,2116440,32008,41381,13079,14153,20827,2928,3706,2244522
CONTRIBUTOR_Migrant W.,54,994,378,956,733,634,59,163,3971
CONTRIBUTOR_Migrant S/W.,2,12,10,16,8,8,3,0,59
CONTRIBUTOR_Informal W.,3,55,13,487,188,236,7,5,994
CONTRIBUTOR_Informal S/W.,1,172,110,373,131,145,29,51,1012
CONTRIBUTOR_TOTAL,2116500,113238,75940,535166,46189,51016,6511,8648,2953208
Total,Employer :23916,Contributor :2953208
